
length	num
8	3
7	7
8	7
13	2
8	4
8	1
8	3
9	2
9	1
8	4
8	2
8	8
9	1
22	5
8	1
10	1
9	3
8	5
7	5
21	1
7	4
7	21
8	8
10	3
8	3
9	1
8	2
8	5
12	1
7	7
9	6
9	1
8	4
9	5
25	1
7	16
8	5
11	4
8	11
10	1
8	8
8	3
10	1
8	1
8	1
7	2
9	1
10	1
8	2
8	1
8	2
14	1
8	3
7	2
8	5
9	2
8	9
15	2
8	3
9	7
8	4
8	1
8	5
8	2
11	3
7	8
8	4
9	2
8	7
9	1
9	3
9	1
20	4
7	3
9	2
9	5
8	2
16	1
7	4
9	4
8	1
7	2
17	3
7	6
8	2
7	5
8	6
9	1
7	1
8	4
8	7
9	2
9	2
10	1
7	3
8	7
7	2
22	2
9	1
7	9
25	5
8	3
11	1
8	4
9	1
11	1
8	1
9	7
9	3
7	3
9	4
9	1
7	2
7	4
9	2
8	3
7	3
8	3
8	8
7	4
9	2
8	7
9	1
12	1
8	1
14	1
8	12
10	1
7	3
8	1
8	2
16	3
8	5
14	1
8	2
7	4
7	2
13	3
8	4
7	3
15	2
8	6
9	8
7	3
8	4
8	3
8	4
10	1
10	1
9	5
8	5
9	2
8	1
9	1
9	1
7	5
8	3
21	1
8	2
9	2
10	5
8	2
8	6
8	5
8	10
10	3
9	1
8	5
9	3
16	1
7	4
8	2
8	3
10	6
7	5
8	5
9	2
8	1
9	4
18	1
8	3
8	1
8	2
9	1
9	1
8	2
8	1
8	3
8	6
7	2
8	5
30	5
8	7
12	1
8	3
8	3
8	2
7	19
11	1
8	6
9	5
15	1
9	2
10	1
8	2
10	1
10	1
10	1
28	1
7	3
8	2
12	2
9	2
7	20
9	1
18	1
8	5
9	1
15	1
8	4
10	1
9	2
8	2
9	2
9	6
22	2
8	2
9	1
8	2
8	6
10	4
9	8
8	3
9	1
16	1
12	1
8	7
9	2
9	6
17	3
7	4
8	4
9	1
9	1
9	2
9	4
9	3
8	1
7	3
8	11
11	1
16	1
7	4
7	7
9	3
8	4
11	2
8	4
10	22
7	2
9	2
7	1
8	8
8	3
8	4
9	2
8	4
7	19
8	2
9	1
9	1
23	1
8	3
7	5
8	5
13	1
7	3
8	3
11	5
8	5
9	1
8	1
8	5
8	5
7	23
8	9
9	1
10	3
7	19
8	5
7	6
8	4
9	3
8	5
8	1
18	4
18	5
21	1
16	2
8	2
7	3
8	5
7	8
7	5
8	4
9	2
8	1
15	5
10	1
8	1
8	7
10	5
11	1
7	6
9	7
8	4
8	2
9	7
